	Country	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism
1	Group_2	2.523687580025608	2.0448143405889883	3.243277848911652	2.643405889884763	3.73943661971831	2.218309859154929	2.203585147247119	3.654289372599232	2.507682458386684	2.184165599658557
2	Group_3	1.530465949820789	1.2087813620071688	1.3799283154121873	1.7374551971326162	2.9130824372759854	1.187275985663082	1.6693548387096768	3.347670250896057	1.31810035842294	1.3270609318996416
3	Group_4	2.157317073170732	1.829268292682927	3.528048780487805	3.296341463414634	2.520731707317073	1.5804878048780489	1.9707317073170727	4.612195121951219	2.580487804878049	2.2089430894308943
4	Group_5	3.374228395061728	1.7824074074074074	2.133487654320988	3.4081790123456788	3.78858024691358	1.830246913580247	1.9197530864197527	2.5671296296296298	2.3564814814814814	1.830761316872428
5	Group_6	2.3398760330578514	1.5547520661157026	2.118801652892562	2.182851239669421	4.84297520661157	1.6663223140495864	2.0433884297520657	3.8811983471074383	1.852272727272728	1.681129476584022
6	Group_7	3.9849246231155777	1.9623115577889447	2.025963149078727	3.479061976549413	3.40284757118928	1.5603015075376885	3.424623115577889	4.7286432160804015	1.8802345058626468	2.139586823003909
7	Group_8	3.817365269461078	2.5548902195608783	4.259481037924152	2.75249500998004	4.446107784431137	3.3532934131736525	3.166666666666666	3.497005988023952	3.8443113772455098	3.03692614770459
8	Group_9	1.7570224719101124	2.0842696629213484	2.44873595505618	2.383426966292135	2.106741573033708	1.7183988764044942	1.703651685393258	2.826544943820225	3.501404494382023	2.309925093632959
9	Group_10	4.535469107551488	1.597254004576659	2.5526315789473686	2.5034324942791764	4.481693363844394	3.653318077803204	2.09954233409611	3.3638443935926774	2.278032036613272	1.848970251716247
10	Group_11	5.12878787878788	2.560606060606061	2.113636363636364	5.315656565656566	4.969696969696969	1.6414141414141414	4.664141414141415	5.48989898989899	1.973484848484848	2.2836700336700337
